source_system,academic_year,institution,institution_chinese,programme_code,programme_id,programme_title,programme_title_chinese,award_level,area_of_study,funding_category,mode_of_study,normal_duration,tuition_fee,score_system,score_comparability_group,score_formula,score_formula_url,upper_quartile,median,lower_quartile,mean,highest,lowest_or_minimum_admitted,min_or_other_score,requirements_summary,chinese_requirement,english_requirement,math_requirement,citizenship_requirement,elective_requirements,specific_subject_requirements,interview_or_portfolio,selection_notes,programme_description,articulation_or_career_notes,programme_url,score_source_url,requirements_source_url,raw_source_local_path,source_confidence,last_retrieved_at,notes
cspe,2025/26,The Hong Kong Polytechnic University - School of Professional Education and Executive Development,,PU/03,c0991ba7-fca9-40d8-91d7-1a398165912e,Bachelor of Science (Honours) in Surveying,,Bachelor's Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=YzA5OTFiYTctZmNhOS00MGQ4LTkxZDctMWEzOTgxNjU5MTJl&provId=PU/03&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU03.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=YzA5OTFiYTctZmNhOS00MGQ4LTkxZDctMWEzOTgxNjU5MTJl&provId=PU/03&year=2025/26,data/raw/cspe/details/2025_26/pu-03-the-hong-kong-polytechnic-university-school-of-professional-education-and-executive-development.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - School of Professional Education and Executive Development,,PU/03,24936d5b-6d18-462b-bb3f-020f4cff0db2,Bachelor of Social Sciences (Honours),,Bachelor's Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjQ5MzZkNWItNmQxOC00NjJiLWJiM2YtMDIwZjRjZmYwZGIy&provId=PU/03&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU03.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjQ5MzZkNWItNmQxOC00NjJiLWJiM2YtMDIwZjRjZmYwZGIy&provId=PU/03&year=2025/26,data/raw/cspe/details/2025_26/pu-03-the-hong-kong-polytechnic-university-school-of-professional-education-and-executive-development.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - School of Professional Education and Executive Development,,PU/03,21ea78fb-6ac7-4b59-9111-5c7eb995c1ff,Bachelor of Social Sciences (Honours) in Psychology,,Bachelor's Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjFlYTc4ZmItNmFjNy00YjU5LTkxMTEtNWM3ZWI5OTVjMWZm&provId=PU/03&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU03.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjFlYTc4ZmItNmFjNy00YjU5LTkxMTEtNWM3ZWI5OTVjMWZm&provId=PU/03&year=2025/26,data/raw/cspe/details/2025_26/pu-03-the-hong-kong-polytechnic-university-school-of-professional-education-and-executive-development.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - School of Professional Education and Executive Development,,PU/03,b5601268-ee8f-4105-9dd6-e4e0378891c0,Bachelor of Social Sciences (Honours) in Social Policy and Management,,Bachelor's Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=YjU2MDEyNjgtZWU4Zi00MTA1LTlkZDYtZTRlMDM3ODg5MWMw&provId=PU/03&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU03.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=YjU2MDEyNjgtZWU4Zi00MTA1LTlkZDYtZTRlMDM3ODg5MWMw&provId=PU/03&year=2025/26,data/raw/cspe/details/2025_26/pu-03-the-hong-kong-polytechnic-university-school-of-professional-education-and-executive-development.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - Hong Kong Community College,,PU/02,1CC54DE9-9F64-4B00-A1F1-F79AF42156FE,Higher Diploma in Aircraft Services Engineering,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MUNDNTRERTktOUY2NC00QjAwLUExRjEtRjc5QUY0MjE1NkZF&provId=PU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MUNDNTRERTktOUY2NC00QjAwLUExRjEtRjc5QUY0MjE1NkZF&provId=PU/02&year=2025/26,data/raw/cspe/details/2025_26/pu-02-the-hong-kong-polytechnic-university-hong-kong-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - Hong Kong Community College,,PU/02,86C6E746-2CC2-4765-A03E-D82B37E3E551,Higher Diploma in Electrical Engineering,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=ODZDNkU3NDYtMkNDMi00NzY1LUEwM0UtRDgyQjM3RTNFNTUx&provId=PU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=ODZDNkU3NDYtMkNDMi00NzY1LUEwM0UtRDgyQjM3RTNFNTUx&provId=PU/02&year=2025/26,data/raw/cspe/details/2025_26/pu-02-the-hong-kong-polytechnic-university-hong-kong-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - Hong Kong Community College,,PU/02,EE97FB9A-C75D-4283-8725-9E8B09727A4B,Higher Diploma in Mechanical Engineering,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=RUU5N0ZCOUEtQzc1RC00MjgzLTg3MjUtOUU4QjA5NzI3QTRC&provId=PU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=RUU5N0ZCOUEtQzc1RC00MjgzLTg3MjUtOUU4QjA5NzI3QTRC&provId=PU/02&year=2025/26,data/raw/cspe/details/2025_26/pu-02-the-hong-kong-polytechnic-university-hong-kong-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The Hong Kong Polytechnic University - Hong Kong Community College,,PU/02,6186869D-1AF0-4465-AF8F-2C99CBB0DEBB,Higher Diploma in Social Work,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NjE4Njg2OUQtMUFGMC00NDY1LUFGOEYtMkM5OUNCQjBERUJC&provId=PU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NjE4Njg2OUQtMUFGMC00NDY1LUFGOEYtMkM5OUNCQjBERUJC&provId=PU/02&year=2025/26,data/raw/cspe/details/2025_26/pu-02-the-hong-kong-polytechnic-university-hong-kong-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The University of Hong Kong - HKU SPACE Community College,,HU/02,E6AE76B7-C199-40B8-B654-5B5F02DCA80D,Associate of Arts in English Language and Literature,,Associate Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=RTZBRTc2QjctQzE5OS00MEI4LUI2NTQtNUI1RjAyRENBODBE&provId=HU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=RTZBRTc2QjctQzE5OS00MEI4LUI2NTQtNUI1RjAyRENBODBE&provId=HU/02&year=2025/26,data/raw/cspe/details/2025_26/hu-02-the-university-of-hong-kong-hku-space-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The University of Hong Kong - HKU SPACE Community College,,HU/02,59CEB4CF-F017-4BDF-BC27-0ED4CBB00BCF,Associate of Arts in Languages and Humanities,,Associate Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NTlDRUI0Q0YtRjAxNy00QkRGLUJDMjctMEVENENCQjAwQkNG&provId=HU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NTlDRUI0Q0YtRjAxNy00QkRGLUJDMjctMEVENENCQjAwQkNG&provId=HU/02&year=2025/26,data/raw/cspe/details/2025_26/hu-02-the-university-of-hong-kong-hku-space-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,The University of Hong Kong - HKU SPACE Community College,,HU/02,C1471F2D-DDA3-4757-953A-44A8C87334FA,Associate of Arts in Legal Studies,,Associate Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QzE0NzFGMkQtRERBMy00NzU3LTk1M0EtNDRBOEM4NzMzNEZB&provId=HU/02&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HU02.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QzE0NzFGMkQtRERBMy00NzU3LTk1M0EtNDRBOEM4NzMzNEZB&provId=HU/02&year=2025/26,data/raw/cspe/details/2025_26/hu-02-the-university-of-hong-kong-hku-space-community-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
