academic_year,institution,provider_id,programme_count,detail_html_path,detail_endpoint,score_pdf_url
2025/26,The Hong Kong Polytechnic University - Hong Kong Community College,PU/02,36,data/raw/cspe/details/2025_26/pu-02-the-hong-kong-polytechnic-university-hong-kong-community-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU02.pdf
2025/26,The Hong Kong Polytechnic University - School of Professional Education and Executive Development,PU/03,26,data/raw/cspe/details/2025_26/pu-03-the-hong-kong-polytechnic-university-school-of-professional-education-and-executive-development.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_PU03.pdf
2025/26,The University of Hong Kong - HKU SPACE Community College,HU/02,35,data/raw/cspe/details/2025_26/hu-02-the-university-of-hong-kong-hku-space-community-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HU02.pdf
2025/26,The University of Hong Kong - HKU School of Professional and Continuing Education,HU/04,4,data/raw/cspe/details/2025_26/hu-04-the-university-of-hong-kong-hku-school-of-professional-and-continuing-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HU04.pdf
2025/26,Tung Wah College,TWC/01,17,data/raw/cspe/details/2025_26/twc-01-tung-wah-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_TWC01.pdf
2025/26,UOW College Hong Kong,CIU/02,24,data/raw/cspe/details/2025_26/ciu-02-uow-college-hong-kong.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CIU02.pdf
2025/26,Vocational Training Council - Hong Kong Institute of Vocational Education (IVE) / Hong Kong Design Institute (HKDI) / Hong Kong Institute of Information Technology (HKIIT),VTC/13,115,data/raw/cspe/details/2025_26/vtc-13-vocational-training-council-hong-kong-institute-of-vocational-education-ive-hong-kong-design-institute-hkdi-hong-kong-institute-of-information-technology-hkiit.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_VTC13.pdf
2025/26,Vocational Training Council - Technological and Higher Education Institute of Hong Kong (THEi),VTC/12,22,data/raw/cspe/details/2025_26/vtc-12-vocational-training-council-technological-and-higher-education-institute-of-hong-kong-thei.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_VTC12.pdf
2025/26,YMCA College of Careers,YMCA/01,2,data/raw/cspe/details/2025_26/ymca-01-ymca-college-of-careers.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_YMCA01.pdf
2025/26,Yew Chung College of Early Childhood Education,YCEF/02,3,data/raw/cspe/details/2025_26/ycef-02-yew-chung-college-of-early-childhood-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_YCEF02.pdf
